fetched_at,league,match_id,commence_time,home_team,away_team,outcome,pinnacle_odds,pinnacle_fair_prob,unibet_se_odds,unibet_se_edge,best_book,best_odds,best_edge,flag
2026-08-11T11:33:06.243995+00:00,soccer_sweden_allsvenskan,a145c2b49092d2dc91f0b10ef800dcfd,2026-08-16T12:00:00Z,Degerfors IF,IFK Goteborg,IFK Goteborg,2.32,0.4067,2.3,-0.0645,coolbet,2.38,-0.032,
2026-08-11T11:33:06.243995+00:00,soccer_sweden_allsvenskan,a145c2b49092d2dc91f0b10ef800dcfd,2026-08-16T12:00:00Z,Degerfors IF,IFK Goteborg,Draw,3.36,0.2808,3.45,-0.0311,betfair_sb_uk,3.5,-0.0171,
2026-08-11T11:33:06.246344+00:00,soccer_sweden_allsvenskan,990c183d46db8b1bd4f75a9eebcc5590,2026-08-16T12:00:00Z,IF Brommapojkarna,Örgryte IS,IF Brommapojkarna,1.81,0.5209,1.77,-0.0779,coolbet,1.84,-0.0415,
2026-08-11T11:33:06.246344+00:00,soccer_sweden_allsvenskan,990c183d46db8b1bd4f75a9eebcc5590,2026-08-16T12:00:00Z,IF Brommapojkarna,Örgryte IS,Örgryte IS,3.82,0.2468,4.6,0.1354,unibet_se,4.6,0.1354,VALUE
2026-08-11T11:33:06.246344+00:00,soccer_sweden_allsvenskan,990c183d46db8b1bd4f75a9eebcc5590,2026-08-16T12:00:00Z,IF Brommapojkarna,Örgryte IS,Draw,4.06,0.2322,4.1,-0.0478,unibet_se,4.1,-0.0478,
2026-08-11T11:33:06.246521+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,GAIS,2.15,0.4385,2.23,-0.0221,unibet_se,2.23,-0.0221,
2026-08-11T11:33:06.246521+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,Malmo FF,3.14,0.3003,3.2,-0.0391,coolbet,3.4,0.0209,
2026-08-11T11:33:06.246521+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,Draw,3.61,0.2612,3.7,-0.0336,unibet_se,3.7,-0.0336,
2026-08-11T11:33:06.246690+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Hammarby IF,1.78,0.5309,1.72,-0.0868,coolbet,1.85,-0.0178,
2026-08-11T11:33:06.246690+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Kalmar FF,4.19,0.2255,4.9,0.1051,unibet_se,4.9,0.1051,VALUE
2026-08-11T11:33:06.246690+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Draw,3.88,0.2436,4.1,-0.0014,unibet_se,4.1,-0.0014,
2026-08-11T11:33:06.246848+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,BK Hacken,1.3,0.7224,1.33,-0.0392,leovegas,1.33,-0.0392,
2026-08-11T11:33:06.246848+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,Halmstads BK,8.02,0.1171,9.0,0.0538,coolbet,9.5,0.1124,VALUE
2026-08-11T11:33:06.246848+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,Draw,5.85,0.1605,6.0,-0.0368,unibet_se,6.0,-0.0368,
